ProblemID,IsCovered,ProblemToSolveTheorems,SimilarProblemsTheorems,LevelID
459,True,1,62,1
722,True,1,67,1
95,True,1,70,1
2521,True,1,72,1
4197,True,1,73,1
2191,True,1,60,1
917,True,1,65,1
2409,True,1,71,1
2545,True,1,63,1
438,False,1,63,1
2444,True,1,73,1
2794,True,1,73,1
1568,True,1,62,1
2208,True,1,70,1
5313,True,1,69,1
1136,True,1,72,1
1663,True,1,71,1
2353,True,1,62,1
553,True,1,72,1
1849,True,1,69,1
993,True,2,59,2
454,True,2,59,2
6156,True,2,63,2
2451,True,1,59,2
2206,True,2,65,2
5363,False,2,71,2
3700,True,2,73,2
2478,True,2,69,2
335,True,2,70,2
5572,True,2,72,2
5049,True,2,63,2
4350,True,2,63,2
6677,True,2,67,2
1004,True,2,73,2
4316,True,2,62,2
6880,True,2,65,2
4251,True,2,73,2
823,True,2,60,2
5953,True,2,73,2
455,True,1,63,2
890,True,3,65,3
5138,True,1,71,3
6397,False,3,69,3
770,True,3,62,3
6747,True,3,65,3
3296,True,3,71,3
2949,True,2,65,3
3496,True,3,68,3
3638,False,3,68,3
4679,True,3,62,3
3619,True,2,67,3
6495,True,3,69,3
5581,True,2,68,3
4833,True,3,65,3
3173,False,3,59,3
1398,True,3,71,3
1795,True,2,69,3
3597,True,2,60,3
1647,True,3,67,3
1938,True,2,65,3
6309,True,4,72,5
6910,True,4,63,5
4601,True,4,73,5
3263,True,4,71,5
2183,True,2,68,5
5725,True,3,71,5
6896,True,4,65,5
3299,False,5,59,5
3768,True,4,67,5
2062,False,4,72,5
6217,True,4,71,5
3701,False,5,73,5
4414,True,5,62,5
3987,True,5,65,5
4270,True,4,72,5
5790,True,4,73,5
4707,True,4,63,5
3029,True,4,68,5
3961,False,4,71,5
5405,True,5,67,5
6645,True,3,62,4
6104,True,3,73,4
2159,True,3,65,4
4856,True,4,70,4
5399,True,4,63,4
596,True,3,66,4
4869,True,4,67,4
705,True,3,71,4
3157,True,3,68,4
3265,True,3,68,4
2904,True,3,63,4
1494,True,3,60,4
5909,True,3,71,4
4876,True,4,71,4
5391,False,4,68,4
3452,True,3,70,4
2622,True,4,68,4
2902,True,3,59,4
1483,False,4,62,4
659,False,3,60,4
